run_id,scenario,episode,epsilon,total_reward,mean_reward_nonreg_low,mean_reward_nonreg_mod,mean_reward_reg_low,mean_reward_reg_mod
20260130-125815,OFF,0,0.0995,-2.9999999999999996,-1.0,-1.0,0.30000000000000004,0.2
20260130-125815,OFF,1,0.09900250000000001,-3.099999999999999,-0.95,-1.0,0.2,0.2
20260130-125815,OFF,2,0.0985074875,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,3,0.09801495006250001,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,4,0.09752487531218751,-2.5,-0.95,-1.0,0.44999999999999996,0.25
20260130-125815,OFF,5,0.09703725093562657,-3.099999999999999,-0.95,-1.0,0.2,0.2
20260130-125815,OFF,6,0.09655206468094843,-2.8999999999999995,-0.95,-1.0,0.30000000000000004,0.2
20260130-125815,OFF,7,0.09606930435754368,-3.0999999999999996,-1.0,-1.0,0.2,0.25
20260130-125815,OFF,8,0.09558895783575597,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,9,0.09511101304657718,-1.5999999999999999,-0.2,-1.0,0.2,0.2
20260130-125815,OFF,10,0.09463545798134429,-3.0999999999999996,-1.0,-1.0,0.2,0.25
20260130-125815,OFF,11,0.09416228069143756,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,12,0.09369146928798038,-3.099999999999999,-1.0,-0.95,0.2,0.2
20260130-125815,OFF,13,0.09322301194154048,-3.0999999999999996,-1.0,-1.0,0.2,0.25
20260130-125815,OFF,14,0.09275689688183278,-4.3,-1.0,-1.0,0.2,-0.35
20260130-125815,OFF,15,0.09229311239742362,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,16,0.0918316468354365,-2.899999999999999,-0.95,-0.9,0.2,0.2
20260130-125815,OFF,17,0.09137248860125932,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,18,0.09091562615825302,-3.099999999999999,-0.95,-1.0,0.2,0.2
20260130-125815,OFF,19,0.09046104802746176,-3.099999999999999,-0.95,-1.0,0.2,0.2
20260130-125815,OFF,20,0.09000874278732444,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,21,0.08955869907338782,-3.0999999999999996,-1.0,-1.0,0.25,0.2
20260130-125815,OFF,22,0.08911090557802087,-2.9,-1.0,-1.0,0.25,0.30000000000000004
20260130-125815,OFF,23,0.08866535105013076,-3.099999999999999,-1.0,-0.95,0.2,0.2
20260130-125815,OFF,24,0.08822202429488012,-3.0999999999999996,-1.0,-1.0,0.2,0.25
20260130-125815,OFF,25,0.08778091417340572,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,26,0.0873420096025387,-2.8999999999999995,-1.0,-0.95,0.30000000000000004,0.2
20260130-125815,OFF,27,0.086905299554526,-4.3,-1.0,-1.0,0.2,-0.35
20260130-125815,OFF,28,0.08647077305675337,-3.099999999999999,-0.95,-1.0,0.2,0.2
20260130-125815,OFF,29,0.0860384191914696,-2.999999999999999,-1.0,-0.95,0.2,0.25
20260130-125815,OFF,30,0.08560822709551225,-3.099999999999999,-0.95,-1.0,0.2,0.2
20260130-125815,OFF,31,0.08518018596003468,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,32,0.08475428503023451,-2.6999999999999997,-1.0,-0.95,0.4,0.2
20260130-125815,OFF,33,0.08433051360508334,-3.0999999999999996,-1.0,-1.0,0.2,0.25
20260130-125815,OFF,34,0.08390886103705793,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,35,0.08348931673187264,-3.099999999999999,-1.0,-0.95,0.2,0.2
20260130-125815,OFF,36,0.08307187014821328,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,37,0.08265651079747222,-2.9999999999999996,-1.0,-1.0,0.30000000000000004,0.2
20260130-125815,OFF,38,0.08224322824348486,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,39,0.08183201210226744,-4.3999999999999995,-1.0,-1.0,0.2,-0.4
20260130-125815,OFF,40,0.0814228520417561,-3.099999999999999,-0.95,-1.0,0.2,0.2
20260130-125815,OFF,41,0.08101573778154732,-3.1999999999999993,-1.0,-1.0,0.2,0.2
20260130-125815,OFF,42,0.08061065909263958,-5.6,-1.0,-1.0,-0.4,-0.4
20260130-125815,OFF,43,0.08020760579717638,-3.999999999999999,-1.0,-0.95,-0.25,0.2
20260130-125815,OFF,44,0.0798065677681905,-4.3,-1.0,-0.95,0.2,-0.4
